"cell","vpu","HUC4","area_Estimate","AISP_mgafdm_est","AISP_mgafdm_LowQ","AISP_mgafdm_HiQ","Emer_gAFDM","Total_Emerg_gafdm","Total_Emerg_kJ"
10883778,"10U",904,15048.9083812237,7936.6444435165,2061.11,59659.0989999999,1.52023329024226,22877.8515029419,263243.998318602
10890823,"17",1701,199760.857869916,740.007007771631,35.163,14945.164,0.141745456311326,28315.193951913,325808.779207687
10890848,"10U",904,5499.17489853501,4766.80841817806,1548.435,49185.6052033053,0.913063561949177,5021.09622063788,57775.2436627698
10890854,"10U",904,15978.2725619022,5853.20473270684,1548.435,59659.0989999999,1.12115853905154,17914.1767220695,206129.474452493
10891042,"10U",1006,496.407754004002,7536.79230664364,1086.222,59659.0989999999,1.44364317284759,716.635665016484,8245.96827951217
10891056,"10U",1006,38068.4927336024,11729.0993741364,2057.24079837762,59659.0989999999,2.24666324162827,85527.0832887775,984117.383862318
10897766,"17",1702,385130.265828528,7982.1280214811,915.723347716969,21015.173,1.52894549221542,588843.183854255,6775524.09501898
10897791,"17",1702,5151.00572388992,772.934636489248,35.163,14884.9156320821,0.148052615174433,762.619868200376,8775.08551344763
10897893,"17",1701,34539.1114875823,739.736307731527,35.163,14883.374,0.141693604774374,4893.97121237952,56312.479755245
10898015,"10U",1005,1812.2699665837,5305.94281621715,1251.476,59659.0989999999,1.01633265326941,1841.86914357848,21193.4673005858
10898044,"10U",1005,696.897271499038,6839.39830627427,1349.57208744051,59659.0989999999,1.31006007191344,912.977289616311,10505.1731829701
10898082,"10U",1005,27275.2181454375,9042.91390197107,1911.875,59659.0989999999,1.73213489055834,47244.3569973023,543617.193789459
10904981,"10U",904,28992.7559185472,3133.17899939827,1251.476,19149.604,0.60014821793664,17399.9507975881,200212.533852447
10905117,"10U",1005,36393.6903001033,6839.39830627427,1349.57208744051,59659.0989999999,1.31006007191344,47677.9205317488,548605.992598568
10905371,"09",902,153460.003904335,4252.70595298005,226,45425.0155454676,0.814589239740113,125006.867910947,1438391.52561731
10905394,"09",902,28144.9377201125,3762.57456633816,226,49102.887,0.720706484141266,20284.2391106372,233400.597326547
10912113,"10U",1003,8286.86264301464,9183.81931336051,2061.11,59659.0989999999,1.75912477257888,14577.6253622856,167737.446231139
10912217,"10U",1005,68730.5748655088,9194.37261229145,1911.875,59659.0989999999,1.76114621583124,121044.591836297,1392799.59596435
10919258,"10U",1005,20955.785508208,5167.52366138655,1251.476,59659.0989999999,0.989819003996314,20742.4347396948,238672.825332298
10919328,"10U",1006,15365.6380687596,9404.08067400896,1086.222,59659.0989999999,1.80131497719179,27678.3539873649,318480.980155615
10919342,"10U",1006,6485.97791253403,7631.44523711783,1086.222,59659.0989999999,1.4617735725335,9481.03110457821,109093.484404829
10919343,"10U",1006,7596.04724870622,7631.44523711783,1086.222,59659.0989999999,1.4617735725335,11103.7011238745,127764.736981862
10926010,"17",1711,17913.6074235439,2655.15883264998,176.729,142561.375,0.508585319274657,9110.59775086396,104831.093020316
10926036,"17",1702,22370.53349614,782.456218111586,35.163,15842.5933550241,0.149876437000024,3352.81585419114,38579.1756262504
10926261,"10U",1003,2754.08178147087,9051.19640040629,2061.11,59659.0989999999,1.73372137083186,4774.81044155474,54941.3563457496
10926329,"10U",1005,11166.5787754886,5167.52366138655,1251.476,59659.0989999999,0.989819003996314,11052.8918816005,127180.100435637
10926377,"10U",1005,6786.89347257279,8812.18171047963,1911.875,59659.0989999999,1.6879390391337,11455.8624467973,131816.881244073
10926591,"09",902,56023.2420040667,4276.24799503895,226,45425.0155454676,0.81909862608253,45888.5605542201,528016.722017134
10926669,"09",903,16711.3198623955,4017.70122677013,176.729,41731.5271110486,0.769575000953034,12860.6139990295,147980.654979833
10933614,"09",901,18671.3244116306,6936.55569553315,1086.222,59659.0989999999,1.32867019091216,24808.0321705842,285453.622170827
10940173,"17",1711,19475.4913345315,958.423507737035,35.163,41557.836,0.183582285055349,3575.35520176893,41139.8246291542
10940180,"17",1702,6025.08181917667,752.443971235681,35.163,15842.5933550241,0.144127708158707,868.381234066626,9992.02866978764
10940274,"17",1701,6886.9753318131,810.058877477757,35.163,15842.5933550241,0.155163618751242,1068.60801473466,12295.9381215443
10940358,"10U",1005,12830.7619630396,3370.9410265529,1081.88925757806,15842.5933550241,0.645690606966205,8284.70247975396,95327.929083289
10947226,"17",1711,28032.5657227933,4402.3670885985,176.729,59801.8518541053,0.843256246589397,23638.6361536733,271997.966902242
10947311,"17",1702,116115.857520759,8497.24602826833,915.723347716969,19150.0648836336,1.62761433745529,188991.834506703,2174634.54375138
10947808,"09",902,60739.2185521722,5780.74443898053,584.771135050109,59659.0989999999,1.10727905238341,67255.264360958,773872.699369363
10954295,"17",1711,28294.7703281343,4883.59472985355,176.729,59659.0989999999,0.935433524484001,26467.876732512,304552.623622649
10954305,"17",1711,57638.5304057449,4883.50956254902,176.729,142561.375,0.935417211018971,53916.0733593741,620385.298109638
10954478,"17",1701,19256.9505395889,739.736307731527,35.163,14883.374,0.141693604774374,2728.58673891618,31396.483311339
10954698,"10U",1006,48238.8958128579,10900.2839426403,1086.222,59659.0989999999,2.08790687810537,100718.322359874,1158915.37623389
10961381,"17",1711,198820.27125141,2840.25349571455,176.729,142561.375,0.544039480115488,108166.077008038,1244612.96509298
10961597,"10U",1003,46381.9779684655,11262.497080844,2061.11,59659.0989999999,2.15728739209706,100059.256291894,1151331.83252268
10961625,"10U",1003,299.202076911926,14999.2943049902,2061.11,59659.0989999999,2.87305632687308,859.624420085376,9891.26838971238
10961873,"09",901,68482.5252156601,6894.30907864877,1086.222,59659.0989999999,1.32057801620977,90436.5172943317,1040607.78624723
10961911,"09",901,42549.166878826,6308.25884452807,1086.222,59659.0989999999,1.20832237945986,51413.1105670576,591584.956739848
10962012,"09",902,16959.7055706829,5690.09814699856,1044.41557751137,59659.0989999999,1.0899161086748,18484.656299869,212693.697714443
10962045,"09",903,237857.038030453,3951.30178019769,176.729,49102.887,0.756856445919924,180023.632440769,2071441.92667971
10968440,"17",1711,60757.0832010508,8769.194055755,1618.14251413315,66929.0378965998,1.67970492152305,102053.971670191,1174284.02502305
10968530,"17",1702,229226.309320558,8437.961479389,915.723347716969,19150.0648836336,1.61625861332719,370488.996840556,4263031.64214585
10968645,"10U",904,38583.2592152953,3211.77486038426,888.19366153768,14945.164,0.615202948584649,23736.5348352555,273124.438081868
10968834,"10U",1006,49846.5228310637,10890.4479844422,1086.222,59659.0989999999,2.08602283867277,103980.985054022,1196457.20452411
10969115,"09",903,193974.201732555,3947.15417477851,176.729,49185.6052033053,0.756061988277542,146656.520636465,1687503.25470348
10975535,"17",1711,24608.7628017999,962.782534400207,35.163,41557.836,0.184417239612476,4538.28010618611,52219.7200418305
10975593,"17",1702,9329.89737197757,741.574445611875,35.163,14883.374,0.142045692916617,1325.27173704348,15249.2392422908
10975594,"17",1702,10507.0179238226,747.963612160603,35.163,14945.164,0.143269512851276,1505.33533946569,17321.141083562
10976142,"09",902,32332.035228014,5715.64464053342,1070.18766992794,59659.0989999999,1.09480943988008,35397.4173781649,407300.383061855
10976175,"09",903,13832.4430835024,6231.1597545326,226,59659.0989999999,1.19355434945768,16509.77260594,189969.698490249
10982554,"17",1711,15888.9206384383,10195.109481082,925.736,142561.375,1.95283346017429,31028.4158687962,357028.467194303
10982595,"17",1711,304247.939661126,8881.452463557,1628.839,59659.0989999999,1.70120758172974,517588.901677159,5955636.69714823
10982982,"10U",1006,1768.94919816405,10890.4479844422,1086.222,59659.0989999999,2.08602283867277,3690.06842782208,42459.7723647347
10983217,"09",902,22450.0276642293,5715.64464053342,1070.18766992794,59659.0989999999,1.09480943988008,24578.5022123671,282812.535706602
10990003,"10U",1005,18359.8667009324,12690.7025433028,2061.11,59659.0989999999,2.43085457842973,44630.166029321,513537.005416382
10990035,"10U",1005,6180.59101647139,7524.89227484901,1086.222,59659.0989999999,1.44136376816746,8908.47995700312,102505.424625256
10996738,"17",1711,353832.648063589,8896.96651382252,1628.839,59659.0989999999,1.7041792375533,602994.252398472,6938353.36522302
10996948,"10U",1003,31881.6620405354,4240.04277425831,1247.05304497306,45425.0155454676,0.812163657242359,25893.1272418061,297939.268607842
10997108,"10U",1005,5548.00291281939,9529.23489795773,1086.222,59659.0989999999,1.8252877806877,10126.701923989,116522.895688379
10997199,"10U",1011,36960.6041153371,6885.97281966477,1086.222,59659.0989999999,1.31898123831279,48750.3433848362,560945.826157618
10997431,"09",903,156448.009700781,4116.1514755801,226,49185.6052033053,0.788432762156613,123348.736422291,1419312.23564309
11004092,"10U",1005,1670.01892876998,15045.0846746659,2061.11,59659.0989999999,2.88182729360202,4812.70612976133,55377.4030820988
11004108,"10U",1005,22627.6866233052,10603.8306513184,2061.11,59659.0989999999,2.03112240632049,45959.6013037937,528834.152402102
11004279,"10U",1011,5208.20893201232,6921.4480861545,1086.222,59659.0989999999,1.32577638725536,6904.92042195438,79451.4668352181
11004475,"09",903,3430.59433704615,4870.03822568944,584.771135050109,45425.0155454676,0.932836828981732,3200.18474289281,36822.9257440962
11010866,"17",1711,459762.214348141,11148.8531320876,925.736,142561.375,2.13551933692416,981831.099127525,11297439.5421109
11011063,"17",1701,196912.923530191,1423.61059521782,35.163,14945.164,0.272687057432652,53695.6056879087,617848.486847922
11011267,"10U",1006,1669.32601700723,10903.7968596571,1086.222,59659.0989999999,2.08857976365956,3486.52053807172,40117.6485713222
11011340,"10U",1011,3117.69952495396,6624.60197890258,1086.222,59659.0989999999,1.26891667311107,3956.10090896455,45520.8751090006
11011442,"09",902,10017.5073291045,6159.41632410182,1086.222,59659.0989999999,1.17981217515804,11818.7771116124,135992.758834768
11018195,"10U",1003,7667.65927982703,14830.6054278599,2061.11,59659.0989999999,2.84074463034539,21781.8619264866,250632.994257118
11025253,"10U",1003,25513.9652975723,12989.8182214268,2061.11,59659.0989999999,2.48814902002324,63482.5477520614,730461.935709095
11025495,"10U",1011,2362.85625071824,6878.62486804421,1086.222,59659.0989999999,1.31757376683688,3113.2374107529,35822.4662668282
11025714,"09",903,80367.4643722326,4893.35816597114,226,52522.661,0.937303672594925,75328.7195132354,866769.911079043
11025717,"09",903,31669.1811604835,4813.21970283628,226,52522.661,0.921953462521448,29197.5112261268,335961.162923428
11032373,"10U",1005,446.25191950798,15518.9334582189,2364.11500788962,59659.0989999999,2.97259118008135,1326.5245200238,15263.6543896538
11032386,"10U",1005,99414.0917885005,28033.5832167777,2372.444,59659.0989999999,5.36972353419922,533826.188307753,6142471.03576316
11032496,"10U",1006,3468.14120587334,10923.7783717681,1086.222,59659.0989999999,2.09240714437653,7256.76343687601,83499.9484864138
11032626,"09",901,21732.4640148431,7010.23004365621,1086.222,59659.0989999999,1.34278222496518,29181.9663838267,335782.296195501
11032696,"09",902,72540.80920358,5892.01364992441,1070.18766992794,59659.0989999999,1.12859223578979,81868.9940450686,942025.579979582
11032796,"09",903,717.414686352015,4752.47507341607,226,52522.661,0.910318065660062,653.075549556086,7514.6138109671
11039169,"17",1711,98942.6899513602,9775.40375261196,1247.05304497306,142561.375,1.87244046473819,185264.296354971,2131743.62600848
11039409,"10U",1003,111206.964279531,14609.6161259403,2061.11,59659.0989999999,2.79841499142098,311203.235990256,3580860.03492188
11039504,"10U",1005,9267.93626278266,15293.3196056189,2409.33360795959,59659.0989999999,2.92937572650984,27149.2675230358,312393.046753812
11046272,"17",1702,31939.8903308026,2092.63691684742,35.163,59659.0989999999,0.400836440138148,12802.6719386018,147313.944661521
11046539,"10U",1005,5083.08842374454,10789.6519025464,2061.11,59659.0989999999,2.06671574229035,10505.2988648067,120879.221387898
11053313,"17",1711,334130.868985585,9880.20215872518,1247.05304497306,66929.0378965998,1.89251419071539,632347.411111284,7276105.48595199
11053424,"17",1701,9882.30393510697,4728.52396842875,176.729,45334.4249999999,0.90573032490905,8950.70235399442,102991.256636237
11053536,"10U",1003,4500.01890484989,8326.11540419973,1548.435,59659.0989999999,1.59483493382438,7176.78735232473,82579.7036695245
11053705,"10U",1006,10138.3929985762,10914.4717598826,1086.222,59659.0989999999,2.09062449916564,21195.5727849928,243886.858250519
11053710,"10U",1006,6277.97595445812,10923.7783717681,1086.222,59659.0989999999,2.09240714437653,13136.0817393322,151150.324533626
11053781,"10U",1011,66439.389589794,6975.98473282959,1086.222,59659.0989999999,1.33622266923305,88777.818499889,1021521.96856897
11054020,"09",903,87720.3947261616,4784.20985401376,226,49185.6052033053,0.916396739117905,80386.68368119,924969.375777613
